company_id,department,product_id,product_name,category,units_sold,revenue,profit_margin,customer_feedback_score,employee_id,employee_name,employee_role,employee_performance_score,employee_turnover,training_program_completed,salary,supplier_id,supplier_name,inventory_level,reorder_point,technology_usage_score,brand_loyalty_score,market_research_index,exit_interview_score,mission_clarity_score,company_direction_score,future_planning_score,years_with_company,contract_value,projected_growth
86,Marketing,1556,Laptop,Gadgets,272,85724.90798593427,18.00097544071482,3,13847,Michael Brown,Technician,10,0,0,70729.7696518281,591,Supplier C,729,408,5,3,5,8,6,3,10,14,84260.67520086914,4.957386610183731
98,HR,1524,Headphones,Accessories,334,57365.39736780314,11.861525189793237,9,14360,Jane Smith,Technician,4,0,1,102723.79399415082,910,Supplier A,176,118,1,8,2,7,1,1,10,10,74491.23436980286,21.00554911777167
99,Production,1354,Charger,Gadgets,102,8333.814022114106,28.4747283092093,2,16183,John Doe,Engineer,10,0,1,83463.4391776052,863,Supplier C,761,86,8,5,6,6,4,9,1,0,72824.40662180055,16.24175754480195
53,HR,1124,Headphones,Gadgets,7,29647.072209581384,7.63026159998779,8,15269,Jane Smith,Salesperson,7,1,0,39965.72125833218,884,Supplier D,169,462,7,7,7,9,6,8,2,10,32166.44750426634,8.154570580096802
24,Sales,1136,Tablet,Accessories,361,30854.124543689046,16.10516352164141,3,13995,Lisa White,Engineer,6,0,0,97755.08640595977,693,Supplier A,589,137,4,9,5,9,1,5,6,1,30107.122635459375,16.802869546977632
80,HR,1174,Charger,Gadgets,13,16172.449798338524,18.30646531973654,6,18753,Tom Green,Engineer,3,0,1,69473.71442685966,858,Supplier D,887,406,2,10,10,6,3,3,5,19,93748.86240476897,18.256971148253125
80,Sales,1901,Laptop,Accessories,147,229744.98564455623,28.744998013484963,8,10189,Lisa White,Engineer,6,1,0,30118.30987131604,798,Supplier D,41,250,8,9,6,5,3,3,2,4,31890.22856246196,13.011118183394078
73,Sales,1523,Phone,Gadgets,307,41450.50984102889,12.861296282989608,6,14469,Jane Smith,Technician,9,1,0,69200.68795641765,517,Supplier C,824,68,10,10,6,1,1,2,10,0,45599.80722661892,12.344988967072446
21,Marketing,1873,Phone,Gadgets,393,6430.085893383469,20.271369078562856,8,10046,John Doe,Manager,3,1,1,87437.28120956189,771,Supplier A,245,472,10,1,7,3,7,4,2,18,68821.1541477555,12.616931744176474
81,Production,1798,Phone,Accessories,494,69818.32038883326,22.724465206243515,2,11838,Jane Smith,Manager,2,1,0,56552.039928754704,610,Supplier C,379,432,7,3,3,7,2,1,6,10,76555.7648861634,7.642700387644951
